linea;fecha;fynsa;otc_tr;nemo;dias;monto;tipo_de_pago;buy;seller;trader_buy;trader_seller;tasa;valor_final;fee_buyer;fee_seller;fee_buyer_moneda;fee_seller_moneda;compra_depo;venta_depo;util_depo;valor_clp;fee_buyer_clp;fee_seller_clp;participante_1;participante_2;tipo_de_cambio;uf
4106;2020-02-21;SI;OTC;FNBCI;279;173542376;PH;FYNSA;CB BTG;FYNSA;JOAQUIN SPORKE;0.22;170140418;0;0;CLP;CLP;170140418;0;310825;173542376;0;0;FM SURA;CB BTG;0.00;0.00
4150;2020-03-02;SI;TR;FNSEC;378;10000000000;PH;FYNSA;B SECURITY;FYNSA;JOSE TOMAS DEVICENTE;0.22;9730276729;0;0;CLP;CLP;9730276729;0;1194411;10000000000;0;0;FM SURA;B SECURITY;0.00;0.00
3644;2019-11-06;NO;OTC;BTP0470930;0;0;PH;B SCOTIABANK TRAD;FYNSA;GONZALO MARTINEZ;FYNSA;3.34;0;-907580;0;CLP;CLP;0;0;0;0;-907580;0;0;0;0.00;0.00
3615;2019-11-04;SI;TR;FNCNO;112;300000000;PH;FM SURA;FYNSA;GONZALO MONCADA;TELERENTA;0.17;298108008;0;0;CLP;CLP;298108008;0;221020;300000000;0;0;FM SURA;B CONSORCIO BCE;0.00;0.00
4147;2020-03-02;NO;OTC;FNCNO;101;7200000000;PH;FM SURA;B CONSORCIO BCE;GONZALO MONCADA;TOMAS SILVA;0.20;7151844249;0;0;CLP;CLP;7151844249;0;531485;7200000000;0;0;FM SURA;B CONSORCIO BCE;0.00;0.00
4117;2020-02-25;NO;OTC;BTP0450326;0;2000000000;PM;B HSBC;B CHILE TRAD;CRISTOBAL ROSAS;CHRISTIAN GOMEZ;3.03;2206938384;0;180000;CLP;CLP;0;0;0;2000000000;0;180000;0;0;0.00;0.00
3974;2020-01-16;NO;OTC;BTP0450326;0;5000000000;PH;B HSBC;B CHILE TRAD;JORGE TROMBERT;CHRISTIAN GOMEZ;2.94;5524430770;0;450000;CLP;CLP;0;0;0;5000000000;0;450000;0;0;0.00;0.00
4156;2020-03-04;NO;OTC;BTP0450326;0;5000000000;PM;B HSBC;B CHILE TRAD;JORGE TROMBERT;CHRISTIAN GOMEZ;2.68;5507683035;0;450000;CLP;CLP;0;0;0;5000000000;0;450000;0;0;0.00;0.00
3613;2019-11-04;NO;TR;BTP0450326;0;1000000000;PM;AFP AFC;AFP CAPITAL;SEBASTIAN MORALES;JUAN ANDRES MORA;3.01;6566589070;0;0;CLP;CLP;0;0;0;1000000000;0;0;0;0;0.00;0.00
3667;2019-11-12;NO;TR;BTP0470930;0;1500000000;PM;AFP AFC;AFP CAPITAL;SEBASTIAN MORALES;JUAN ANDRES MORA;3.45;1685673778;0;0;CLP;CLP;0;0;0;1500000000;0;0;0;0;0.00;0.00
3681;2019-11-15;NO;TR;BTP0450326;0;2000000000;PM;AFP AFC;B CONSORCIO TRAD;SEBASTIAN MORALES;CARLOS FEMENIAS;2.90;2204244715;0;200000;CLP;CLP;0;0;0;2000000000;0;200000;0;0;0.00;0.00
3682;2019-11-15;NO;TR;BTP0470930;0;1000000000;PM;AFP AFC;B CONSORCIO TRAD;SEBASTIAN MORALES;CARLOS FEMENIAS;3.40;1129042034;0;100000;CLP;CLP;0;0;0;1000000000;0;100000;0;0;0.00;0.00
3702;2019-11-18;NO;TR;BTP0450326;0;1000000000;PH;AFP AFC;B CONSORCIO TRAD;SEBASTIAN MORALES;CARLOS FEMENIAS;2.83;1106396268;0;100000;CLP;CLP;0;0;0;1000000000;0;100000;0;0;0.00;0.00
3703;2019-11-18;NO;TR;BTP0400323;0;2000000000;PM;AFP AFC;B CONSORCIO TRAD;SEBASTIAN MORALES;CARLOS FEMENIAS;2.33;2123081384;0;200000;CLP;CLP;0;0;0;2000000000;0;200000;0;0;0.00;0.00
3704;2019-11-18;NO;TR;BTP0500335;0;3000000000;PM;AFP AFC;B SANTANDER TRAD;SEBASTIAN MORALES;JUAN MANUEL BECAR;3.50;3572551824;0;300000;CLP;CLP;0;0;0;3000000000;0;300000;0;0;0.00;0.00
3714;2019-11-22;NO;TR;BTP0600143;0;2000000000;PM;AFP AFC;B SANTANDER TRAD;SEBASTIAN MORALES;JOSE MIGUEL GREDILLA;3.87;2707060086;0;200000;CLP;CLP;0;0;0;2000000000;0;200000;0;0;0.00;0.00
3792;2019-12-03;NO;TR;BTP0400323;0;1000000000;PM;AFP AFC;B SCOTIABANK TRAD;SEBASTIAN MORALES;GONZALO MARTINEZ;2.50;1057221551;0;0;CLP;CLP;0;0;0;1000000000;0;0;0;0;0.00;0.00
3840;2019-12-11;NO;TR;BTP0400323;0;1000000000;PH;AFP AFC;B SCOTIABANK TRAD;SEBASTIAN MORALES;GONZALO MARTINEZ;2.47;1058630952;0;100000;CLP;CLP;0;0;0;1000000000;0;100000;0;0;0.00;0.00
4120;2020-02-25;NO;TR;BTU0190930;0;30000;PM;AFP AFC;B CONSORCIO TRAD;SEBASTIAN MORALES;CARLOS FEMENIAS;0.63;971637902;0;85300;UF;CLP;0;0;0;840000000;0;85300;0;0;0.00;0.00
4257;2020-04-07;NO;TR;BTP0400323;0;500000000;PM;AFP AFC;B CHILE TRAD;SEBASTIAN MORALES;CHRISTIAN GOMEZ;1.21;541727642;0;45000;CLP;CLP;0;0;0;500000000;0;45000;0;0;0.00;0.00
3459;2019-08-28;SI;TR;BTU0300144;0;50000;PH;AFP CAPITAL;AFP AFC;JUAN ANDRES MORA;SEBASTIAN MORALES;0.30;0;0;0;CLP;CLP;0;0;0;1432532500;0;0;0;0;0.00;0.00
4424;2020-05-05;NO;TR;BTP0470930;0;2000000000;PH;B ESTADO TRAD;B CONSORCIO TRAD;JAVIER VALENCIA;CARLOS FEMENIAS;2.65;2387853467;100;200000;USD;CLP;0;0;0;2000000000;79000;200000;0;0;0.00;0.00
4193;2020-03-18;NO;TR;BTU0150321;0;50000;PM;AFP MODELO;AFP AFC;PABLO COLOMA;SEBASTIAN MORALES;-1.25;1466435169;0;0;CLP;CLP;0;0;0;1400000000;0;0;0;0;0.00;0.00
4295;2020-04-21;NO;TR;BTP0400323;0;2500000000;PH;FM SCOTIABANK;B FALABELLA BCE;FELIPE MUÑOZ;EUGENIO ZAMORANO;1.01;2724274359;0;250000;CLP;CLP;0;0;0;2500000000;0;250000;0;0;0.00;0.00
3444;2019-08-19;NO;OTC;BTP0450326;0;3000000000;PH;B ESTADO TRAD;B CHILE TRAD;CRISTIAN MORENO;CHRISTIAN GOMEZ;2.51;3423372913;150;0;USD;CLP;0;0;0;3000000000;118500;0;0;0;0.00;0.00
3446;2019-08-19;NO;OTC;BTP0400323;0;3000000000;PH;B ESTADO TRAD;B SCOTIABANK TRAD;CRISTIAN MORENO;PABLO ARROYO;2.22;3327681966;150;300000;USD;CLP;0;0;0;3000000000;118500;300000;0;0;0.00;0.00
3455;2019-08-23;SI;TR;BTP0400323;0;2000000000;PH;B ESTADO TRAD;B CONSORCIO TRAD;CRISTIAN MORENO;CARLOS FEMENIAS;2.21;0;100;200000;USD;CLP;0;0;0;2000000000;79000;200000;0;0;0.00;0.00
