id;fecha;cliente;total_consolidada
40124;2019-08-09;B ESTADO TRAD;158000
40125;2019-08-09;B CONSORCIO TRAD;100000
40126;2019-08-09;AFP AFC;0
40127;2019-08-09;AFP CAPITAL;0
40128;2019-08-09;AFP CUPRUM;0
40129;2019-08-09;AFP HABITAT;0
40130;2019-08-09;AFP MODELO;0
40131;2019-08-09;AFP PLANVITAL;0
40132;2019-08-09;B BCI;0
40133;2019-08-09;B BCI BCE;0
40134;2019-08-09;B BCI INV;0
40135;2019-08-09;B BCI TRAD;0
40136;2019-08-09;B BICE;0
40137;2019-08-09;B BTG;0
40138;2019-08-09;B CHILE;0
40139;2019-08-09;B CHILE BCE;0
40140;2019-08-09;B CHILE TRAD;0
40141;2019-08-09;B CONSORCIO;0
40142;2019-08-09;B CONSORCIO BCE;0
40143;2019-08-09;B ESTADO;0
40144;2019-08-09;B ESTADO BCE;0
40145;2019-08-09;B FALABELLA;0
40146;2019-08-09;B FALABELLA BCE;0
40147;2019-08-09;B FALABELLA TRAD;0
40148;2019-08-09;B HSBC;0
40149;2019-08-09;B INTERNACIONAL;0
40150;2019-08-09;B ITAU;0
40151;2019-08-09;B JPM;0
40152;2019-08-09;B MERRIL LYNCH;0
40153;2019-08-09;B SANTANDER;0
40154;2019-08-09;B SANTANDER BCE;0
40155;2019-08-09;B SANTANDER TRAD;0
40156;2019-08-09;B SCOTIABANK;0
40157;2019-08-09;B SCOTIABANK TRAD;0
40158;2019-08-09;B SECURITY;0
40159;2019-08-09;CB BANCHILE;0
40160;2019-08-09;CB BCI;0
40161;2019-08-09;CB BTG;0
40162;2019-08-09;CB CONSORCIO;0
40163;2019-08-09;CB CREDICORP;0
40164;2019-08-09;CB EUROAMERICA;0
40165;2019-08-09;CB LARRAINVIAL;0
40166;2019-08-09;CB MERRIL LYNCH;0
40167;2019-08-09;CDS BICE;0
40168;2019-08-09;CDS EUROAMERICA;0
40169;2019-08-09;CDS PRINCIPAL;0
40170;2019-08-09;FM BANCHILE;0
40171;2019-08-09;FM BCI;0
40172;2019-08-09;FM BTG;0
40173;2019-08-09;FM CREDICORP;0
40174;2019-08-09;FM FYNSA;0
40175;2019-08-09;FM ITAU;0
40176;2019-08-09;FM LARRAINVIAL;0
40177;2019-08-09;FM MONEDA;0
40178;2019-08-09;FM SANTANDER;0
40179;2019-08-09;FM SCOTIA;0
40180;2019-08-09;FM SCOTIABANK;0
40181;2019-08-09;FM SECURITY;0
40182;2019-08-09;FM SURA;0
40183;2019-08-09;FYNSA;0
40184;2019-08-09;ADC SANTANDER;0
40185;2019-08-09;VISION;0
40186;2019-08-09;ADC VISION;0
40187;2019-08-13;B ESTADO TRAD;474000
40188;2019-08-13;B CONSORCIO TRAD;100000
40189;2019-08-13;AFP AFC;0
40190;2019-08-13;AFP CAPITAL;0
40191;2019-08-13;AFP CUPRUM;0
40192;2019-08-13;AFP HABITAT;0
40193;2019-08-13;AFP MODELO;0
